From Book,From Book Number,From Chapter,From Chapter in Bible,From Verse Number,To Book,To Book Number,To Chapter,To Chapter in Bible,To Verse Number
Genesis,1,1,0,1,Hebrews,58,11,1143,3
Daniel,27,6,855,22,Hebrews,58,11,1143,33
Luke,42,11,983,9,Hebrews,58,11,1143,6
1 Corinthians,46,16,1077,13,Hebrews,58,11,1143,32
2 Corinthians,47,4,1081,18,Hebrews,58,11,1143,1
Hebrews,58,11,1143,1,Hebrews,58,11,1143,7
Hebrews,58,11,1143,1,Hebrews,58,11,1143,27
Hebrews,58,11,1143,1,Hebrews,58,11,1143,13
Genesis,1,1,0,1,Isaiah,23,45,723,18
Isaiah,23,44,722,6,Isaiah,23,45,723,5
Isaiah,23,44,722,6,Isaiah,23,45,723,21
Isaiah,23,45,723,17,Isaiah,23,45,723,25
Isaiah,23,55,733,6,Isaiah,23,45,723,19
Isaiah,23,55,733,11,Isaiah,23,45,723,23
Jeremiah,24,32,776,17,Isaiah,23,45,723,12
Lamentations,25,3,799,38,Isaiah,23,45,723,7
Philippians,50,2,1104,10,Isaiah,23,45,723,23
Philippians,50,4,1106,13,Isaiah,23,45,723,24
Genesis,1,1,0,1,John,43,1,997,1
Isaiah,23,40,718,3,John,43,1,997,23
Isaiah,23,59,737,21,John,43,1,997,33
Isaiah,23,61,739,1,John,43,1,997,32
Isaiah,23,61,739,1,John,43,1,997,41
Matthew,40,11,939,27,John,43,1,997,18
Luke,42,3,975,22,John,43,1,997,32
Luke,42,11,983,9,John,43,1,997,45
John,43,1,997,1,John,43,1,997,14
John,43,1,997,1,John,43,1,997,2
John,43,1,997,1,John,43,1,997,18
John,43,1,997,14,John,43,1,997,1
John,43,3,999,3,John,43,1,997,13
John,43,3,999,16,John,43,1,997,29
John,43,3,999,16,John,43,1,997,18
John,43,3,999,16,John,43,1,997,14
John,43,14,1010,6,John,43,1,997,4
John,43,14,1010,6,John,43,1,997,14
John,43,14,1010,6,John,43,1,997,17
Ephesians,49,2,1098,8,John,43,1,997,12
Colossians,51,1,1107,15,John,43,1,997,14
Colossians,51,1,1107,15,John,43,1,997,1
Colossians,51,1,1107,15,John,43,1,997,18
Colossians,51,1,1107,16,John,43,1,997,3
Colossians,51,2,1108,9,John,43,1,997,14
Hebrews,58,1,1133,2,John,43,1,997,3
1 John,62,3,1161,1,John,43,1,997,12
1 John,62,3,1161,9,John,43,1,997,13
Revelation,66,13,1179,8,John,43,1,997,29
Revelation,66,19,1185,13,John,43,1,997,1
Genesis,1,1,0,1,Job,18,38,473,4
Genesis,1,1,0,1,Isaiah,23,42,720,5
Psalm,19,37,514,17,Isaiah,23,42,720,1
Isaiah,23,30,708,21,Isaiah,23,42,720,16
Isaiah,23,43,721,19,Isaiah,23,42,720,9
Isaiah,23,44,722,6,Isaiah,23,42,720,8
Isaiah,23,49,727,6,Isaiah,23,42,720,6
Isaiah,23,61,739,1,Isaiah,23,42,720,7
Isaiah,23,61,739,1,Isaiah,23,42,720,1
Mark,41,8,964,18,Isaiah,23,42,720,18
Genesis,1,1,0,1,Revelation,66,4,1170,11
Revelation,66,1,1167,4,Revelation,66,4,1170,5
Genesis,1,1,0,1,Hebrews,58,1,1133,10
Genesis,1,1,0,1,Hebrews,58,1,1133,2
Psalm,19,2,479,7,Hebrews,58,1,1133,5
Psalm,19,110,587,1,Hebrews,58,1,1133,13
